Name,Address,Hours,Category,Photo_url
Matsuki,2-23-3 Nakano Nakano-ku  164-0001 Tokyo ,18:30-24:00,Restaurant,https://savorjapan.com/gg/image/0006040668/0006040668E1_740x555d80.jpg
Waltz,4-24-3 Ebisu Shibuya Shimada Building ,18:00-24:00,Wine Bar,https://savorjapan.com/gg/image/0006040668/0006040668E1_740x555d80.jpg
Libertin,1-22-6 Shibuya Shibuya Tokyo,19:00-2:00,Restaurant,https://savorjapan.com/gg/image/0006040668/0006040668E1_740x555d80.jpg
Le Cabaret,8-8 Motoyoyogi Shibuya Motoyoyogi Leaf ,18:00-24:00 (Tuesday - Sunday),Restaurant,https://savorjapan.com/gg/image/0006040668/0006040668E1_740x555d80.jpg
Ahiru Store,1-19-4 Tomigaya Shibuya,15:00-21:00,Restaurant,https://savorjapan.com/gg/image/0006040668/0006040668E1_740x555d80.jpg
Un jour ,4 Chome-10-7 Meguro Meguro City Tokyo 153-0063,17:00-00:00 (closed on wednesday),Restaurant,https://savorjapan.com/gg/image/0006040668/0006040668E1_740x555d80.jpg
Colonial Trade Co,2-22-17 Shimomeguro Meguro-ku Tokyo Triangle Meguro ,12:00-20:00,Shop,https://images.squarespace-cdn.com/content/5553fe8de4b0efc8c234d1c3/1543998173534-KUY7K4QUSS511IKOIMKD/CTCO-Brandmark-Gold.png?content-type=image%2Fpng
Les vins libres ,2-5 Yamagamicho Otsu Shiga 520-0038,"10:00-18:00 (monday, wed, thurs, friday, sat)",Shop,https://bimi.jorudan.co.jp/delivery/bimi/img/shopimages/small/36862/2/36862_Shop_2.jpg
The wine store,3 Chome-5-2 Nakameguro Meguro City Tokyo 153-0061,,Shop,https://tblg.k-img.com/restaurant/images/Rvw/59323/640x640_rect_59323377.jpg
Lunette,4 Chome−10−19 Nishishinjuku Shinjuku City 160-0023 Tokyo,(temporary closed,Wine Bar,https://hotel-the-knot.jp/tokyoshinjuku/wp-content/uploads/2018/08/IMG_0466-1024x683.jpg